,clssifiers,BA,TN,FP,FN,TP
0,LogisticR_lbfgs,0.5,0.0,31.0,0.0,41.0
1,LogisticR_liblinear,0.5,0.0,31.0,0.0,41.0
2,LogisticR_newtonc,0.5,0.0,31.0,0.0,41.0
3,LogisticR_newtonch,0.5,0.0,31.0,0.0,41.0
4,DecisionTree,0.5120792489126739,12.0,19.0,15.0,26.0
5,NearestC,0.0,0.0,0.0,0.0,0.0
6,LDA_le,0.5,0.0,31.0,0.0,41.0
7,QDA,0.5,0.0,31.0,0.0,41.0
8,BernoulliNB,0.5,0.0,31.0,0.0,41.0
9,GaussianNB,0.0,0.0,0.0,0.0,0.0
10,AdaBoost,0.5161290322580645,1.0,30.0,0.0,41.0
11,RandomForest,0.5239968528717545,0.0,31.0,0.0,41.0
12,KNN,0.5,0.0,31.0,0.0,41.0
